epoch;binary_accuracy;loss;lr;val_binary_accuracy;val_loss
0;0.8944995403289795;0.3958210051059723;0.002;0.9804838299751282;0.1211991086602211
1;0.9002663493156433;0.20495140552520752;0.002;0.9804838299751282;0.11066709458827972
2;0.9000967144966125;0.19538328051567078;0.002;0.9804838299751282;0.09561201184988022
3;0.900227963924408;0.16255716979503632;0.002;0.9736089110374451;0.0937044620513916
4;0.9009110927581787;0.15179547667503357;0.002;0.9804588556289673;0.07980459928512573
5;0.9014053344726562;0.14857211709022522;0.002;0.9754666090011597;0.0919063612818718
6;0.9017625451087952;0.14425307512283325;0.002;0.979270339012146;0.08122986555099487
7;0.901959240436554;0.14107196033000946;0.002;0.9802541136741638;0.09182609617710114
8;0.9023755788803101;0.13841678202152252;0.002;0.9792670011520386;0.08767643570899963
9;0.9022180438041687;0.13776664435863495;0.002;0.9804655313491821;0.08321646600961685
10;0.9024122357368469;0.13624201714992523;0.002;0.9804838299751282;0.09684395790100098
11;0.902130126953125;0.13856886327266693;0.002;0.9803656339645386;0.08045484125614166
12;0.902195930480957;0.13715608417987823;0.002;0.9804838299751282;0.077715665102005
13;0.9027698636054993;0.13346906006336212;0.002;0.9781283736228943;0.08325913548469543
14;0.9027323126792908;0.13344645500183105;0.002;0.9776889085769653;0.07518184185028076
15;0.9026964902877808;0.1319398432970047;0.002;0.978496253490448;0.07893199473619461
16;0.902583122253418;0.1329347789287567;0.002;0.9804838299751282;0.06992053985595703
17;0.902902364730835;0.13080181181430817;0.002;0.9759227633476257;0.08106834441423416
18;0.9032082557678223;0.1297561228275299;0.002;0.977672278881073;0.0786709114909172
19;0.9030611515045166;0.12921930849552155;0.002;0.9765353202819824;0.08178181201219559
20;0.9031345248222351;0.1283678114414215;0.002;0.9791754484176636;0.07667636126279831
21;0.903168261051178;0.12793777883052826;0.002;0.9743779897689819;0.08334197849035263
22;0.9030899405479431;0.1281139850616455;0.002;0.9805670976638794;0.075330451130867
23;0.9032928943634033;0.12607499957084656;0.002;0.9804372191429138;0.07320229709148407
24;0.9033416509628296;0.12613651156425476;0.002;0.9784846305847168;0.07944751530885696
25;0.9034783244132996;0.12595288455486298;0.002;0.9754549860954285;0.08454939723014832
26;0.9036604762077332;0.1253083050251007;0.002;0.9778154492378235;0.07695672661066055
27;0.9038121700286865;0.1236870139837265;0.002;0.9799095392227173;0.07720538228750229
28;0.9031124114990234;0.1255859136581421;0.002;0.9759726524353027;0.0809878557920456
29;0.9037463068962097;0.12355352193117142;0.002;0.9770264029502869;0.07815807312726974
30;0.9036371111869812;0.1242971122264862;0.002;0.9803839325904846;0.09919531643390656
31;0.9038113355636597;0.12294450402259827;0.002;0.9728947877883911;0.0887545719742775
32;0.9038059115409851;0.12249788641929626;0.002;0.9803490042686462;0.0760929137468338
33;0.903933048248291;0.12236306071281433;0.002;0.9729413986206055;0.08919918537139893
34;0.9038130044937134;0.12228681892156601;0.002;0.9782549142837524;0.07717454433441162
35;0.9040071964263916;0.12146500498056412;0.002;0.9753534197807312;0.08573151379823685
36;0.9037567377090454;0.12276672571897507;0.002;0.9760342836380005;0.07941965013742447
37;0.9038621783256531;0.12184493988752365;0.002;0.9805620908737183;0.07656732201576233
38;0.904167652130127;0.12029797583818436;0.002;0.9774075746536255;0.08193278312683105
39;0.9040351510047913;0.12072912603616714;0.002;0.9785045981407166;0.07447472214698792
40;0.903980553150177;0.12062157690525055;0.002;0.9788408279418945;0.07401041686534882
41;0.9041614532470703;0.12022287398576736;0.002;0.9776239991188049;0.09144242852926254
42;0.9040430784225464;0.11967393755912781;0.002;0.9799128770828247;0.07214202731847763
43;0.9044360518455505;0.11905794590711594;0.002;0.978050172328949;0.07350895553827286
44;0.9042239189147949;0.11925745755434036;0.002;0.9794217944145203;0.07573551684617996
45;0.90423184633255;0.11855539679527283;0.002;0.9797963500022888;0.07168891280889511
46;0.9044381380081177;0.11802807450294495;0.002;0.9803773164749146;0.07854564487934113
47;0.9045373201370239;0.118761345744133;0.002;0.9806786179542542;0.08559054136276245
48;0.904577374458313;0.11743282526731491;0.002;0.9740550518035889;0.09261441230773926
49;0.9039525985717773;0.11922978609800339;0.002;0.972999632358551;0.079217828810215
50;0.904400646686554;0.11868808418512344;0.002;0.9751969575881958;0.07779712975025177
51;0.9044498205184937;0.11784802377223969;0.002;0.9719609022140503;0.08841587603092194
52;0.9043210744857788;0.11842060089111328;0.002;0.971852719783783;0.08308697491884232
53;0.9044410586357117;0.11643140017986298;0.002;0.9773226976394653;0.07288288325071335
54;0.9044781923294067;0.11736548691987991;0.002;0.9734041690826416;0.07935978472232819
55;0.9046953320503235;0.1165643110871315;0.002;0.978038489818573;0.07609479874372482
56;0.9036433696746826;0.11968036741018295;0.002;0.9804938435554504;0.07339124381542206
57;0.9045960903167725;0.11674157530069351;0.002;0.9780734777450562;0.07506473362445831
58;0.904358983039856;0.11717800796031952;0.002;0.977782130241394;0.08132008463144302
59;0.9044223427772522;0.11668006330728531;0.002;0.969692051410675;0.08304586261510849
60;0.904532790184021;0.11695995926856995;0.002;0.9655171036720276;0.08571002632379532
61;0.904633641242981;0.11595451831817627;0.002;0.9764338135719299;0.07847075164318085
62;0.9042489528656006;0.11693106591701508;0.002;0.9739152193069458;0.08031308650970459
63;0.9045456647872925;0.11543852090835571;0.002;0.9800626635551453;0.07401542365550995
64;0.9059268236160278;0.10991773754358292;0.00040000002;0.9754133820533752;0.07828333228826523
65;0.9061269164085388;0.10845224559307098;0.00040000002;0.9752735495567322;0.0774325355887413
66;0.9063611030578613;0.10734554380178452;0.00040000002;0.9750271439552307;0.07767356932163239
67;0.9064474105834961;0.1072181910276413;0.00040000002;0.9726400971412659;0.08463762700557709
68;0.9064098596572876;0.10682152956724167;0.00040000002;0.9705809354782104;0.08029454201459885
69;0.906589925289154;0.1066795215010643;0.00040000002;0.9737154245376587;0.0789128988981247
70;0.9066082835197449;0.10619965195655823;0.00040000002;0.976378858089447;0.074904665350914
71;0.9066624641418457;0.10614804178476334;0.00040000002;0.9766868352890015;0.076572485268116
72;0.9066441059112549;0.10564781725406647;0.00040000002;0.9726733565330505;0.07866086810827255
73;0.9067395329475403;0.10596081614494324;0.00040000002;0.9725668430328369;0.07870396226644516
74;0.90671706199646;0.10560138523578644;0.00040000002;0.9724869132041931;0.07844285666942596
75;0.9068587422370911;0.10497535020112991;0.00040000002;0.9710569977760315;0.0806843712925911
76;0.906693696975708;0.10533156245946884;0.00040000002;0.9738552570343018;0.07775827497243881
77;0.9069516658782959;0.10509408265352249;0.00040000002;0.9727582931518555;0.07885773479938507
78;0.9069345593452454;0.10486513376235962;0.00040000002;0.9686998724937439;0.08169601112604141
79;0.9069016575813293;0.10487306863069534;0.00040000002;0.9739551544189453;0.07853958755731583
80;0.9069116711616516;0.10469505190849304;0.00040000002;0.972768247127533;0.07947693020105362
81;0.9070141911506653;0.10426968336105347;0.00040000002;0.9737603664398193;0.07756976038217545
82;0.9069404006004333;0.10454066842794418;0.00040000002;0.9733825325965881;0.07843051850795746
83;0.9070271253585815;0.1040705069899559;0.00040000002;0.9717561602592468;0.08103371411561966
84;0.9070141911506653;0.10412365943193436;0.00040000002;0.9720324873924255;0.07959496229887009
85;0.9069328904151917;0.10390184074640274;0.00040000002;0.9744645357131958;0.077992744743824
86;0.9070754647254944;0.10405541211366653;0.00040000002;0.9737221002578735;0.07667572796344757
87;0.907033383846283;0.10400532931089401;0.00040000002;0.9704577326774597;0.07896797358989716
88;0.907033383846283;0.10368383675813675;0.00040000002;0.9692292809486389;0.08131873607635498
89;0.9070491790771484;0.10355745255947113;0.00040000002;0.9716912508010864;0.07865533232688904
90;0.907149612903595;0.10334464907646179;0.00040000002;0.9703345894813538;0.0811401903629303
91;0.9070863127708435;0.10358929634094238;0.00040000002;0.9722522497177124;0.08330027759075165
92;0.9071750640869141;0.1033761203289032;0.00040000002;0.9752069711685181;0.07623365521430969
93;0.9071246385574341;0.10355931520462036;0.00040000002;0.9714781641960144;0.07990323007106781
94;0.9071738123893738;0.10333894938230515;0.00040000002;0.971047043800354;0.07955355197191238
95;0.9071542024612427;0.10297122597694397;0.00040000002;0.9735406637191772;0.07736783474683762
